,latitude,longitude,timestamp,value,measurement,retrieved_at
160,51.7,4.5,2025-07-19T10:00:00Z,27.1,t_2m:C,2025-07-20T16:38:17Z
161,51.7,4.5,2025-07-19T11:00:00Z,28.8,t_2m:C,2025-07-20T16:38:17Z
162,51.7,4.5,2025-07-19T12:00:00Z,29.6,t_2m:C,2025-07-20T16:38:17Z
163,51.7,4.5,2025-07-19T13:00:00Z,30.4,t_2m:C,2025-07-20T16:38:17Z
164,51.7,4.5,2025-07-19T14:00:00Z,31.0,t_2m:C,2025-07-20T16:38:17Z
165,51.7,4.5,2025-07-19T15:00:00Z,28.4,t_2m:C,2025-07-20T16:38:17Z
166,51.7,4.5,2025-07-19T16:00:00Z,25.7,t_2m:C,2025-07-20T16:38:17Z
167,51.7,4.5,2025-07-19T17:00:00Z,26.1,t_2m:C,2025-07-20T16:38:17Z
168,51.7,4.5,2025-07-19T18:00:00Z,25.4,t_2m:C,2025-07-20T16:38:17Z
169,51.7,4.5,2025-07-19T19:00:00Z,22.4,t_2m:C,2025-07-20T16:38:17Z
170,51.7,4.5,2025-07-19T20:00:00Z,22.2,t_2m:C,2025-07-20T16:38:17Z
171,51.7,4.5,2025-07-19T21:00:00Z,21.2,t_2m:C,2025-07-20T16:38:17Z
172,51.7,4.5,2025-07-19T22:00:00Z,20.2,t_2m:C,2025-07-20T16:38:17Z
173,51.7,4.5,2025-07-19T23:00:00Z,19.6,t_2m:C,2025-07-20T16:38:17Z
174,51.7,4.5,2025-07-20T00:00:00Z,18.7,t_2m:C,2025-07-20T16:38:17Z
175,51.7,4.7,2025-07-19T00:00:00Z,19.2,t_2m:C,2025-07-20T16:38:17Z
176,51.7,4.7,2025-07-19T01:00:00Z,18.3,t_2m:C,2025-07-20T16:38:17Z
177,51.7,4.7,2025-07-19T02:00:00Z,17.6,t_2m:C,2025-07-20T16:38:17Z
178,51.7,4.7,2025-07-19T03:00:00Z,17.3,t_2m:C,2025-07-20T16:38:17Z
179,51.7,4.7,2025-07-19T04:00:00Z,17.1,t_2m:C,2025-07-20T16:38:17Z
180,51.7,4.7,2025-07-19T05:00:00Z,18.0,t_2m:C,2025-07-20T16:38:17Z
181,51.7,4.7,2025-07-19T06:00:00Z,19.0,t_2m:C,2025-07-20T16:38:17Z
182,51.7,4.7,2025-07-19T07:00:00Z,21.3,t_2m:C,2025-07-20T16:38:17Z
